source	Destination	Price	total cost
Oklahoma City, OK	Memphis, TN	369	
Oklahoma City, OK	Austin, TX	221	
Oklahoma City, OK	Dallas, TX	215	
Oklahoma City, OK	Fort Worth, TX	211	24310
New York, NY	Portland, OR	3053	
New York, NY	Seattle, WA	2984	
New York, NY	El Paso, TX	2745	
New York, NY	San Antonio, TX	2355	
New York, NY	Austin, TX	2291	
New York, NY	Houston, TX	2190	
New York, NY	San Diego, CA	2151	
New York, NY	Fort Worth, TX	2143	
New York, NY	Los Angeles, CA	2137	
New York, NY	Albuquerque, NM	2119	
New York, NY	Dallas, TX	2114	
New York, NY	Las Vegas, NV	2104	
New York, NY	Tucson, AZ	2096	
New York, NY	Phoenix, AZ	2073	
New York, NY	San Francisco, CA	1988	
New York, NY	San Jose, CA	1985	
New York, NY	Denver, CO	1979	
New York, NY	Fresno, CA	1951	
New York, NY	Oklahoma City, OK	1682	
New York, NY	Nashville, TN	1540	
New York, NY	Indianapolis, IN	1225	
New York, NY	Detroit, MI	1113	
New York, NY	Memphis, TN	1049	
New York, NY	Jacksonville, FL	1041	
New York, NY	Columbus, OH	992	
New York, NY	Milwaukee, WI	881	
New York, NY	Chicago, IL	838	
New York, NY	Louisville, KY	819	
New York, NY	Charlotte, NC	778	
New York, NY	Boston, MA	265	
New York, NY	Washington, DC	220	
New York, NY	Baltimore, MD	194	
New York, NY	Philadelphia, PA	159	53254
Nashville, TN	Seattle, WA	1457	
Nashville, TN	Portland, OR	1457	
Nashville, TN	San Francisco, CA	1316	
Nashville, TN	San Jose, CA	1264	
Nashville, TN	Fresno, CA	1212	
Nashville, TN	Las Vegas, NV	1206	
Nashville, TN	San Diego, CA	1176	
Nashville, TN	Los Angeles, CA	1166	
Nashville, TN	Phoenix, AZ	1160	
Nashville, TN	Tucson, AZ	1133	
Nashville, TN	El Paso, TX	978	
Nashville, TN	Albuquerque, NM	936	
Nashville, TN	Denver, CO	903	
Nashville, TN	Boston, MA	820	
Nashville, TN	San Antonio, TX	665	
Nashville, TN	Austin, TX	633	
Nashville, TN	Houston, TX	631	
Nashville, TN	Philadelphia, PA	581	
Nashville, TN	Jacksonville, FL	571	
Nashville, TN	New York, NY	565	
Nashville, TN	Fort Worth, TX	547	
Nashville, TN	Dallas, TX	530	
Nashville, TN	Baltimore, MD	528	
Nashville, TN	Oklahoma City, OK	516	
Nashville, TN	Washington, DC	509	
Nashville, TN	Milwaukee, WI	494	
Nashville, TN	Chicago, IL	423	
Nashville, TN	Charlotte, NC	406	
Nashville, TN	Detroit, MI	399	
Nashville, TN	Columbus, OH	323	
Nashville, TN	Indianapolis, IN	245	
Nashville, TN	Memphis, TN	174	
Nashville, TN	Louisville, KY	138	25062
Milwaukee, WI	Phoenix, AZ	2332	
Milwaukee, WI	Tucson, AZ	2299	
Milwaukee, WI	Las Vegas, NV	2206	
Milwaukee, WI	Portland, OR	2198	
Milwaukee, WI	Seattle, WA	2115	
Milwaukee, WI	San Francisco, CA	2074	
Milwaukee, WI	San Jose, CA	2070	
Milwaukee, WI	Fresno, CA	2051	
Milwaukee, WI	San Diego, CA	2016	
Milwaukee, WI	Los Angeles, CA	1973	
Milwaukee, WI	El Paso, TX	1760	
Milwaukee, WI	San Antonio, TX	1688	
Milwaukee, WI	Austin, TX	1622	
Milwaukee, WI	Houston, TX	1550	
Milwaukee, WI	Albuquerque, NM	1550	
Milwaukee, WI	Dallas, TX	1474	
Milwaukee, WI	Fort Worth, TX	1474	
Milwaukee, WI	Charlotte, NC	1326	
Milwaukee, WI	Denver, CO	1275	
Milwaukee, WI	Memphis, TN	1171	
Milwaukee, WI	Nashville, TN	1094	
Milwaukee, WI	Columbus, OH	962	
Milwaukee, WI	Jacksonville, FL	918	
Milwaukee, WI	New York, NY	881	
Milwaukee, WI	Boston, MA	869	
Milwaukee, WI	Philadelphia, PA	856	
Milwaukee, WI	Louisville, KY	845	
Milwaukee, WI	Baltimore, MD	821	
Milwaukee, WI	Washington, DC	818	
Milwaukee, WI	Oklahoma City, OK	718	
Milwaukee, WI	Detroit, MI	336	
Milwaukee, WI	Indianapolis, IN	293	
Milwaukee, WI	Chicago, IL	99	45734
Memphis, TN	Portland, OR	1588	
Memphis, TN	Seattle, WA	1554	
Memphis, TN	San Francisco, CA	1376	
Memphis, TN	San Jose, CA	1359	
Memphis, TN	Fresno, CA	1300	
Memphis, TN	San Diego, CA	1259	
Memphis, TN	Los Angeles, CA	1246	
Memphis, TN	Las Vegas, NV	1220	
Memphis, TN	Phoenix, AZ	1163	
Memphis, TN	Tucson, AZ	1125	
Memphis, TN	El Paso, TX	961	
Memphis, TN	Denver, CO	959	
Memphis, TN	Boston, MA	917	
Memphis, TN	Albuquerque, NM	915	
Memphis, TN	San Antonio, TX	900	
Memphis, TN	New York, NY	875	
Memphis, TN	Philadelphia, PA	835	
Memphis, TN	Austin, TX	834	
Memphis, TN	Baltimore, MD	785	
Memphis, TN	Washington, DC	771	
Memphis, TN	Houston, TX	769	
Memphis, TN	Fort Worth, TX	688	
Memphis, TN	Jacksonville, FL	682	
Memphis, TN	Dallas, TX	657	
Memphis, TN	Charlotte, NC	657	
Memphis, TN	Oklahoma City, OK	620	
Memphis, TN	Milwaukee, WI	590	
Memphis, TN	Detroit, MI	554	
Memphis, TN	Chicago, IL	534	
Memphis, TN	Columbus, OH	469	
Memphis, TN	Indianapolis, IN	436	
Memphis, TN	Louisville, KY	352	
Memphis, TN	Nashville, TN	259	29209
Louisville, KY	Portland, OR	1437	
Louisville, KY	Seattle, WA	1431	
Louisville, KY	San Jose, CA	1307	
Louisville, KY	San Francisco, CA	1299	
Louisville, KY	Fresno, CA	1242	
Louisville, KY	Las Vegas, NV	1230	
Louisville, KY	Tucson, AZ	1211	
Louisville, KY	San Diego, CA	1204	
Louisville, KY	Los Angeles, CA	1195	
Louisville, KY	Phoenix, AZ	1194	
Louisville, KY	El Paso, TX	1061	
Louisville, KY	Albuquerque, NM	974	
Louisville, KY	Jacksonville, FL	937	
Louisville, KY	Denver, CO	881	
Louisville, KY	San Antonio, TX	822	
Louisville, KY	Austin, TX	787	
